Order,Frequency,Vpc,Vs,Is,Ib1,Ib2,Vline
      275,36557.7,0.0233376,1.70461e-006,0.00394585,0.0174059,0.0204357,0.0233375
      276,36691.1,0.00402447,1.67707e-006,0.000679937,0.00289438,0.00343504,0.00402419
      277,36824.5,0.000759235,1.70739e-006,0.000126241,0.000317725,0.000439806,0.000758254
      278,36958,0.00191031,1.67195e-006,0.000319241,0.00167293,0.00182437,0.00190982
      279,37091.4,0.00945213,1.69364e-006,0.00158738,0.00806636,0.00898724,0.00945185
      280,37224.8,0.416638,3.31423e-006,0.069992,0.354465,0.396195,0.416638
      281,37358.2,0.0211944,1.72921e-006,0.00356124,0.0179962,0.020099,0.0211941
      282,37491.7,0.00359961,1.655e-006,0.000606451,0.00298075,0.00331607,0.00359929
      283,37625.1,0.000658434,1.67131e-006,0.000113645,0.00033344,0.000359385,0.000657416
      284,37758.5,0.00175575,1.63315e-006,0.000285495,0.00169809,0.00193946,0.00175532
      285,37891.9,0.00867175,1.62999e-006,0.00141986,0.00818276,0.00928061,0.0086715
      286,38025.4,0.371145,2.49345e-006,0.0608004,0.347068,0.393348,0.371143
      287,38158.8,0.0197279,1.62732e-006,0.00323324,0.0185774,0.0210502,0.0197277
      288,38292.2,0.00306458,1.60649e-006,0.000504938,0.00306792,0.00346588,0.00306431
      289,38425.6,0.000240159,1.57738e-006,3.60386e-005,0.000357287,0.000386392,0.000238597
      290,38559,0.00267881,1.58459e-006,0.000423904,0.00170308,0.00198636,0.00267871
      291,38692.5,0.0116567,1.55204e-006,0.00185768,0.00822593,0.00950775,0.0116566
      292,38825.9,0.468768,6.6051e-007,0.074786,0.337235,0.389071,0.468769
      293,38959.3,0.0266349,1.49374e-006,0.00424854,0.0190096,0.0219545,0.0266349
      294,39092.7,0.00463028,1.55758e-006,0.000738335,0.00312203,0.00363659,0.00463024
      295,39226.2,0.000973102,1.52082e-006,0.000155369,0.000363289,0.000479049,0.000973112
      296,39359.6,0.00143637,1.55478e-006,0.00022748,0.00172706,0.00187097,0.00143652
      297,39493,0.0083038,1.53494e-006,0.00131658,0.0083172,0.00918497,0.00830393
      298,39626.4,0.337822,1.41184e-006,0.0535449,0.329613,0.365212,0.337823
      299,39759.8,0.0198882,1.49564e-006,0.00315397,0.0195535,0.0216374,0.0198884
      300,39893.3,0.0030962,1.53979e-006,0.000493777,0.00319487,0.00350222,0.00309639
      301,40026.7,0.000313026,1.54534e-006,5.35912e-005,0.000371956,0.000352825,0.00031451
      302,40160.1,0.00241055,1.54714e-006,0.000370812,0.00175823,0.00206973,0.00241084
      303,40293.5,0.0106273,1.5645e-006,0.00164272,0.00844466,0.0097611,0.0106275
